state_code,district_number,rep_name,rep_audio_url
IN,7,Andre Carson,/n400-audio/State/Indiana/House of rep/7th/Andre_Carson.mp3
IN,8,Mark Messmer,/n400-audio/State/Indiana/House of rep/8th/Mark_Messmer.mp3
IN,9,Erin Houchin,/n400-audio/State/Indiana/House of rep/9th/Erin_Houchin.mp3
KS,1,Tracey Mann,/n400-audio/State/Kansas/House of rep/1st/Tracey_Mann.mp3
KS,2,Derek Schmidt,/n400-audio/State/Kansas/House of rep/2nd/Derek_Schmidt.mp3
KS,3,Sharice Davids,/n400-audio/State/Kansas/House of rep/3rd/Sharice_Davids.mp3
KS,4,Ron Estes,/n400-audio/State/Kansas/House of rep/4th/Ron_Estes.mp3
KY,1,James Comer,/n400-audio/State/Kentucky/House of rep/1st/James_Comer.mp3
KY,2,Brett Guthrie,/n400-audio/State/Kentucky/House of rep/2nd/Brett_Guthrie.mp3
KY,3,Morgan McGarvey,/n400-audio/State/Kentucky/House of rep/3rd/Morgan_McGarvey.mp3
KY,4,Thomas Massie,/n400-audio/State/Kentucky/House of rep/4th/Thomas_Massie.mp3
KY,5,Harold Rogers,/n400-audio/State/Kentucky/House of rep/5th/Harold_Rogers.mp3
KY,6,Andy Barr,/n400-audio/State/Kentucky/House of rep/6th/Andy_Barr.mp3
LA,1,Steve Scalise,/n400-audio/State/Louisiana/House of rep/1st/Steve_Scalise.mp3
LA,2,Troy Carter,/n400-audio/State/Louisiana/House of rep/2nd/Troy_Carter.mp3
LA,3,Clay Higgins,/n400-audio/State/Louisiana/House of rep/3rd/Clay_Higgins.mp3
LA,4,Mike Johnson,/n400-audio/State/Louisiana/House of rep/4th/Mike_Johnson.mp3
LA,5,Julia Letlow,/n400-audio/State/Louisiana/House of rep/5th/Julia_Letlow.mp3
LA,6,Cleo Fields,/n400-audio/State/Louisiana/House of rep/6th/Cleo_Fields.mp3
MA,1,Richard Neal,/n400-audio/State/Massachusetts/House of rep/1st/Richard_Neal.mp3
MA,2,James McGovern,/n400-audio/State/Massachusetts/House of rep/2nd/James_McGovern.mp3
MA,3,Lori Trahan,/n400-audio/State/Massachusetts/House of rep/3rd/Lori_Trahan.mp3
MA,4,Jake Auchincloss,/n400-audio/State/Massachusetts/House of rep/4th/Jake_Auchincloss.mp3
MA,5,Katherine Clark,/n400-audio/State/Massachusetts/House of rep/5th/Katherine_Clark.mp3
MA,6,Seth Moulton,/n400-audio/State/Massachusetts/House of rep/6th/Seth_Moulton.mp3
MA,7,Ayanna Pressley,/n400-audio/State/Massachusetts/House of rep/7th/Ayanna_Pressley.mp3
MA,8,Stephen Lynch,/n400-audio/State/Massachusetts/House of rep/8th/Stephen_Lynch.mp3
MA,9,William Keating,/n400-audio/State/Massachusetts/House of rep/9th/William_Keating.mp3
MD,1,Andy Harris,/n400-audio/State/Maryland/House of rep/1st/Andy_Harris.mp3
MD,2,Johnny Olszewski,/n400-audio/State/Maryland/House of rep/2nd/Johnny_Olszewski.mp3
MD,3,Sarah Elfreth,/n400-audio/State/Maryland/House of rep/3rd/Sarah_Elfreth.mp3
MD,4,Glenn Ivey,/n400-audio/State/Maryland/House of rep/4th/Glenn_Ivey.mp3
MD,5,Steny Hoyer,/n400-audio/State/Maryland/House of rep/5th/Steny_Hoyer.mp3
MD,6,April McClain Delaney,/n400-audio/State/Maryland/House of rep/6th/April_McClain_Delaney.mp3
MD,7,Kweisi Mfume,/n400-audio/State/Maryland/House of rep/7th/Kweisi_Mfume.mp3
MD,8,Jamie Raskin,/n400-audio/State/Maryland/House of rep/8th/Jamie_Raskin.mp3
ME,1,Chellie Pingree,/n400-audio/State/Maine/House of rep/1st/Chellie_Pingree.mp3
ME,2,Jared Golden,/n400-audio/State/Maine/House of rep/2nd/Jared_Golden.mp3
MI,1,Jack Bergman,/n400-audio/State/Michigan/House of rep/1st/Jack_Bergman.mp3
MI,2,John Moolenaar,/n400-audio/State/Michigan/House of rep/2nd/John_Moolenaar.mp3
MI,3,Hillary Scholten,/n400-audio/State/Michigan/House of rep/3rd/Hillary_Scholten.mp3
MI,4,Bill Huizenga,/n400-audio/State/Michigan/House of rep/4th/Bill_Huizenga.mp3
MI,5,Tim Walberg,/n400-audio/State/Michigan/House of rep/5th/Tim_Walberg.mp3
MI,6,Debbie Dingell,/n400-audio/State/Michigan/House of rep/6th/Debbie_Dingell.mp3
MI,7,Tom Barrett,/n400-audio/State/Michigan/House of rep/7th/Tom_Barrett.mp3
MI,8,Kristen McDonald Rivet,/n400-audio/State/Michigan/House of rep/8th/Kristen_McDonald_Rivet.mp3
MI,9,Lisa McClain,/n400-audio/State/Michigan/House of rep/9th/Lisa_McClain.mp3
MI,10,John James,/n400-audio/State/Michigan/House of rep/10th/John_James.mp3
MI,11,Haley Stevens,/n400-audio/State/Michigan/House of rep/11th/Haley_Stevens.mp3
MI,12,Rashida Tlaib,/n400-audio/State/Michigan/House of rep/12th/Rashida_Tlaib.mp3
MI,13,Shri Thanedar,/n400-audio/State/Michigan/House of rep/13th/Shri_Thanedar.mp3
MN,1,Brad Finstad,/n400-audio/State/Minnesota/House of rep/1st/Brad_Finstad.mp3
MN,2,Angie Craig,/n400-audio/State/Minnesota/House of rep/2nd/Angie_Craig.mp3
MN,3,Kelly Morrison,/n400-audio/State/Minnesota/House of rep/3rd/Kelly_Morrison.mp3
MN,4,Betty McCollum,/n400-audio/State/Minnesota/House of rep/4th/Betty_McCollum.mp3
MN,5,Ilhan Omar,/n400-audio/State/Minnesota/House of rep/5th/Ilhan_Omar.mp3
MN,6,Tom Emmer,/n400-audio/State/Minnesota/House of rep/6th/Tom_Emmer.mp3
MN,7,Michelle Fischbach,/n400-audio/State/Minnesota/House of rep/7th/Michelle_Fischbach.mp3
MN,8,Pete Stauber,/n400-audio/State/Minnesota/House of rep/8th/Pete_Stauber.mp3
MO,1,Wesley Bell,/n400-audio/State/Missouri/House of rep/1st/Wesley_Bell.mp3
MO,2,Ann Wagner,/n400-audio/State/Missouri/House of rep/2nd/Ann_Wagner.mp3
MO,3,Robert Onder,/n400-audio/State/Missouri/House of rep/3rd/Robert_Onder.mp3
MO,4,Mark Alford,/n400-audio/State/Missouri/House of rep/4th/Mark_Alford.mp3
MO,5,Emanuel Cleaver,/n400-audio/State/Missouri/House of rep/5th/Emanuel_Cleaver.mp3
MO,6,Sam Graves,/n400-audio/State/Missouri/House of rep/6th/Sam_Graves.mp3
MO,7,Eric Burlison,/n400-audio/State/Missouri/House of rep/7th/Eric_Burlison.mp3
MO,8,Jason Smith,/n400-audio/State/Missouri/House of rep/8th/Jason_Smith.mp3
